63 63
  1  -1   1   1  -1  -1   1   1  -1   1  -1  -1  -1  -1  -1   1   1   1  -1   1  -1   1  -1  -1   1   1  -1   1   1   1   1   1  -1   1   1  -1   1   1   1   1   1   1   1  -1   1  -1  -1  -1   1  -1  -1  -1   1  -1   1   1   1  -1  -1  -1  -1  -1  -1 
 -1  -1   1   1   1  -1  -1  -1  -1  -1   1   1   1   1   1   1  -1   1   1  -1   1   1  -1  -1  -1  -1  -1   1  -1  -1  -1   1   1  -1   1  -1   1   1   1  -1  -1  -1  -1  -1   1   1  -1  -1  -1  -1   1  -1  -1  -1   1  -1  -1  -1   1  -1  -1  -1  -1 
  1   1  -1  -1   1  -1   1  -1  -1   1   1  -1   1  -1   1   1   1  -1   1   1   1   1  -1  -1   1  -1  -1   1   1  -1   1  -1   1   1  -1   1  -1  -1  -1  -1   1  -1   1   1  -1   1  -1  -1   1   1   1  -1   1   1  -1  -1   1   1   1  -1  -1  -1  -1 
 -1   1   1   1   1   1  -1   1   1  -1  -1  -1  -1  -1  -1  -1  -1  -1   1   1  -1  -1  -1  -1  -1   1   1   1  -1   1   1  -1   1   1  -1  -1   1   1   1  -1   1   1   1   1   1   1   1  -1  -1   1   1   1  -1   1   1  -1   1   1   1   1  -1  -1  -1 
  1  -1  -1  -1   1   1   1   1   1   1  -1   1  -1   1  -1  -1   1   1   1  -1  -1  -1  -1  -1   1   1   1   1   1   1  -1   1   1  -1   1   1  -1  -1  -1  -1  -1   1  -1  -1  -1   1   1  -1   1  -1   1   1   1  -1  -1  -1  -1  -1   1   1  -1  -1  -1 
 -1  -1  -1  -1  -1   1  -1  -1   1  -1   1  -1   1  -1   1  -1  -1   1  -1   1   1  -1  -1  -1  -1  -1   1   1  -1  -1   1   1  -1   1   1   1  -1  -1  -1   1   1  -1   1  -1  -1  -1   1  -1  -1  -1  -1   1  -1  -1  -1   1   1  -1  -1   1  -1  -1  -1 
  1   1   1   1  -1   1   1  -1   1   1   1   1   1   1   1  -1   1  -1  -1  -1   1  -1  -1  -1   1  -1   1   1   1  -1  -1  -1  -1  -1  -1  -1   1   1   1   1  -1  -1  -1   1   1  -1   1  -1   1   1  -1   1   1   1   1   1  -1   1  -1   1  -1  -1  -1 
 -1   1  -1   1   1   1   1   1  -1   1  -1   1   1   1   1   1   1  -1  -1   1   1   1   1  -1  -1   1  -1  -1  -1   1  -1   1  -1   1   1   1   1   1   1  -1   1  -1  -1  -1  -1   1   1   1  -1   1  -1   1   1   1  -1  -1   1  -1  -1   1   1  -1  -1 
  1  -1   1  -1   1   1  -1   1  -1  -1  -1  -1   1  -1   1   1  -1   1  -1  -1   1   1   1  -1   1   1  -1  -1   1   1   1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1   1   1   1   1   1   1   1  -1  -1   1  -1  -1   1  -1  -1   1  -1   1   1  -1  -1 
 -1  -1   1  -1  -1   1   1  -1  -1   1   1   1  -1   1  -1   1   1   1   1   1  -1   1   1  -1  -1  -1  -1  -1  -1  -1  -1  -1   1   1  -1  -1  -1  -1  -1   1   1   1  -1   1   1  -1   1   1  -1  -1   1   1   1  -1   1   1   1   1   1   1   1  -1  -1 
  1   1  -1   1  -1   1  -1  -1  -1  -1   1  -1  -1  -1  -1   1  -1  -1   1  -1  -1   1   1  -1   1  -1  -1  -1   1  -1   1   1   1  -1   1   1   1   1   1   1  -1   1   1  -1  -1  -1   1   1   1   1   1   1  -1   1  -1   1  -1  -1   1   1   1  -1  -1 
 -1   1   1  -1  -1  -1   1   1   1   1  -1  -1   1  -1   1  -1   1  -1   1  -1   1  -1   1  -1  -1   1   1  -1  -1   1   1   1   1  -1   1  -1  -1  -1  -1   1  -1  -1   1  -1   1  -1  -1   1  -1   1   1  -1   1   1   1   1  -1  -1   1  -1   1  -1  -1 
  1  -1  -1   1  -1  -1  -1   1   1  -1  -1   1   1   1   1  -1  -1   1   1   1   1  -1   1  -1   1   1   1  -1   1   1  -1  -1   1   1  -1   1   1   1   1   1   1  -1  -1   1  -1  -1  -1   1   1  -1   1  -1  -1  -1  -1   1   1   1   1  -1   1  -1  -1 
 -1  -1  -1   1   1  -1   1  -1   1   1   1  -1  -1  -1  -1  -1   1   1  -1  -1  -1  -1   1  -1  -1  -1   1  -1  -1  -1   1  -1  -1  -1  -1   1   1   1   1  -1  -1   1   1   1  -1   1  -1   1  -1  -1  -1  -1   1  -1  -1  -1  -1   1  -1  -1   1  -1  -1 
  1   1   1  -1   1  -1  -1  -1   1  -1   1   1  -1   1  -1  -1  -1  -1  -1   1  -1  -1   1  -1   1  -1   1  -1   1  -1  -1   1  -1   1   1  -1  -1  -1  -1  -1   1   1  -1  -1   1   1  -1   1   1   1  -1  -1  -1   1   1  -1   1  -1  -1  -1   1  -1  -1 
 -1   1  -1  -1   1   1   1  -1  -1  -1   1   1  -1  -1  -1  -1  -1   1  -1  -1   1  -1  -1   1  -1   1  -1   1   1   1  -1  -1   1  -1   1  -1  -1   1   1  -1   1  -1   1   1   1  -1   1   1   1   1  -1  -1   1  -1  -1   1   1  -1   1  -1   1   1  -1 
